225,0
458,0
605,0
38,0
962,1
32,0
679,1
972,1
564,0
935,1
119,0
985,1
195,0
288,0
843,1
780,1
934,1
738,1
112,0
408,0
246,0
894,1
200,0
879,1
975,1
128,0
158,0
637,0
1000,1
126,0
251,0
703,1
578,0
585,0
350,0
271,0
58,0
616,0
495,0
123,0
979,1
789,1
128,0
132,0
526,0
126,0
436,0
138,0
834,1
284,0
79,0
940,1
380,0
371,0
414,0
143,0
0,0
700,1
31,0
643,0
654,1
871,1
412,0
740,1
756,1
511,0
179,0
785,1
752,1
955,1
269,0
891,1
165,0
67,0
578,0
799,1
329,0
725,1
773,1
391,0
1,0
922,1
993,1
637,0
642,0
142,0
185,0
588,0
439,0
267,0
488,0
193,0
896,1
489,0
564,0
876,1
659,1
276,0
388,0
680,1
518,0
739,1
605,0
340,0
681,1
37,0
260,0
224,0
748,1
654,1
301,0
772,1
725,1
935,1
594,0
603,0
978,1
56,0
650,1
782,1
553,0
797,1
988,1
553,0
454,0
535,0
574,0
516,0
532,0
6,0
404,0
766,1
994,1
190,0
162,0
118,0
308,0
863,1
449,0
296,0
90,0
699,1
343,0
228,0
675,1
576,0
103,0
524,0
790,1
849,1
548,0
98,0
9,0
679,1
945,1
393,0
892,1
677,1
48,0
960,1
129,0
861,1
902,1
521,0
692,1
647,0
85,0
718,1
738,1
871,1
95,0
596,0
873,1
171,0
487,0
854,1
959,1
12,0
891,1
622,0
422,0
769,1
538,0
34,0
458,0
211,0
892,1
159,0
718,1
833,1
349,0
104,0
731,1
812,1
906,1
155,0
935,1
710,1
612,0
552,0
259,0
127,0
190,0
932,1
572,0
647,0
402,0
319,0
157,0
501,0
395,0
516,0
707,1
174,0
946,1
63,0
617,0
194,0
381,0
602,0
894,1
993,1
755,1
711,1
594,0
710,1
877,1
808,1
561,0
424,0
304,0
385,0
502,0
234,0
121,0
143,0
412,0
564,0
413,0
257,0
634,0
797,1
762,1
870,1
302,0
48,0
168,0
282,0
558,0
342,0
530,0
525,0
341,0
873,1
337,0
911,1
80,0
514,0
991,1
